x,y,time,id_pan
-193198.00139516557,6126521.662400206,1652880640374,16
-193198.00139516557,6126521.662400206,1652880640473,16
-193198.00139516557,6126521.662400206,1652880640574,16
-193198.00139516557,6126521.662400206,1652880640674,16
-193198.00139516557,6126521.662400206,1652880640773,16
-191118.61622613936,6125204.21804536,1652880641976,17
-191386.1458251375,6125070.45324586,1652880642074,17
-191605.90228145738,6124965.352331966,1652880642174,17
-191749.22170949215,6124898.469932215,1652880642274,17
-191844.76799484866,6124860.251418073,1652880642375,17
-191844.76799484866,6124860.251418073,1652880642473,17
-191844.76799484866,6124860.251418073,1652880642573,17
-191844.76799484866,6124860.251418073,1652880642674,17
-191844.76799484866,6124860.251418073,1652880642774,17
-191844.76799484866,6124860.251418073,1652880642874,17
-191844.76799484866,6124860.251418073,1652880642974,17
-191844.76799484866,6124860.251418073,1652880643074,17
-175559.75131580292,6129788.266643147,1652880644174,18
-170629.562991409,6130361.544355285,1652880644273,18
-169444.7890529888,6130361.544355285,1652880644374,18
-169100.8224257055,6130361.544355285,1652880644473,18
-169100.8224257055,6130361.544355285,1652880644574,18
-169100.8224257055,6130361.544355285,1652880644674,18
-169100.8224257055,6130361.544355285,1652880644774,18
-169100.8224257055,6130361.544355285,1652880644874,18
-169100.8224257055,6130361.544355285,1652880644980,18
-169100.8224257055,6130361.544355285,1652880645073,18
-181699.2444503269,6125156.792936313,1652880646674,19
-182186.5305056449,6125137.683679241,1652880646774,19
-182683.37118949852,6125099.465165098,1652880646874,19
-183017.7831882462,6125042.137393882,1652880646974,19
-183017.7831882462,6125042.137393882,1652880647074,19
-183017.7831882462,6125042.137393882,1652880647174,19
-183017.7831882462,6125042.137393882,1652880647273,19
-183017.7831882462,6125042.137393882,1652880647375,19
-183247.09427310174,6125042.137393882,1652880647474,19
-184345.87655470116,6124908.372594381,1652880647574,19
-184775.8348388053,6124851.044823166,1652880647673,19
-184986.03666658956,6124851.044823166,1652880647774,19
-184986.03666658956,6124851.044823166,1652880647874,19
-184986.03666658956,6124851.044823166,1652880647974,19
-184986.03666658956,6124851.044823166,1652880648073,19
-185167.57460876682,6124812.826309023,1652880648174,19
-185798.1800921195,6124669.5068809865,1652880648274,19
