# timestamps [seconds],pts
150971.334382,8151404
150971.480672,8160992
150971.646671,8171870
150971.953669,8191989
150972.122845,8203076
150972.220215,8209458
150972.324041,8216262
150972.436591,8223638
150972.565431,8232081
150972.728152,8242745
150972.850009,8250731
150972.952863,8257472
150973.049172,8263783
150973.210399,8274349
150973.394170,8286393
150973.536294,8295707
150973.643260,8302717
150973.766289,8310780
150973.882749,8318412
150974.029715,8328043
150974.185383,8338245
150974.323821,8347317
150974.458330,8356132
150974.607481,8365907
150974.786923,8377667
150974.927685,8386892
150975.070502,8396251
150975.205138,8405074
150975.317462,8412436
150975.520219,8425723
150975.680004,8436195
150975.810739,8444763
150975.936705,8453018
150976.124822,8465346
150976.255487,8473909
150976.385717,8482444
150976.473088,8488170
150976.557353,8493692
150976.670378,8501099
150976.824396,8511193
150976.984548,8521688
150977.128375,8531114
150977.272860,8540583
150977.519991,8556778
150977.681440,8567359
150977.842810,8577934
150977.972592,8586440
150978.086518,8593906
150978.259170,8605220
150978.479210,8619641
150978.636793,8629968
150978.779319,8639308
150978.983578,8652695
150979.148922,8663530
150979.263994,8671072
150979.381092,8678746
150979.567659,8690972
150979.778926,8704818
150979.935786,8715097
150980.069694,8723873
150980.218119,8733600
150980.381082,8744280
150980.529079,8753979
150980.689157,8764470
150980.859049,8775604
150981.009187,8785443
150981.160876,8795384
150981.269994,8802535
150981.377724,8809595
150981.472038,8815776
150981.614478,8825111
150981.786258,8836368
150981.949314,8847054
150982.098120,8856806
150982.248165,8866639
150982.407862,8877105
150982.589083,8888981
150982.722295,8897711
150982.848759,8905999
150983.124653,8924080
150983.264674,8933256
150983.381549,8940916
150983.491228,8948103
150983.625346,8956893
150983.751234,8965143
150983.889775,8974222
150984.007485,8981936
150984.123250,8989523
150984.286153,9000199
150984.423455,9009197
150984.583703,9019699
150984.716565,9028406
150984.838477,9036395
150984.953138,9043910
150985.122927,9055037
150985.323558,9068185
150985.503593,9079984
150985.711000,9093576
150985.876934,9104451
150986.012387,9113328
150986.132746,9121215
150986.237074,9128052
150986.395162,9138413
150986.560558,9149252
150986.716172,9159450
150986.838711,9167481
150986.967922,9175949
150987.125703,9186289
150987.272067,9195881
150987.410205,9204934
150987.564454,9215042
150987.730523,9225926
150987.888544,9236281
150988.019058,9244835
150988.154502,9253711
150988.282230,9262082
150988.439381,9272381
150988.598997,9282841
150988.778256,9294589
150988.910881,9303280
150989.030276,9311105
150989.177316,9320741
150989.314090,9329705
150989.449391,9338572
150989.590412,9347813
150989.782878,9360427
150989.924651,9369718
150990.071012,9379310
150990.210961,9388481
150990.332255,9396430
150990.493733,9407013
150990.694621,9420178
150990.827067,9428858
150990.976099,9438624
150991.166381,9451095
150991.295379,9459548
150991.418380,9467609
150991.539885,9475572
150991.627944,9481343
150991.748764,9489261
150991.882652,9498035
150992.038033,9508218
150992.182595,9517692
150992.310898,9526100
150992.458530,9535776
150992.614499,9545997
150992.761904,9555657
150992.878083,9563271
150992.989237,9570555
150993.127757,9579633
150993.251460,9587740
150993.393417,9597043
150993.525486,9605698
150993.634358,9612833
150993.778788,9622299
150993.931168,9632285
150994.053977,9640333
150994.188327,9649138
150994.325602,9658134
150994.454712,9666595
150994.591769,9675577
150994.751512,9686046
150994.878217,9694350
150994.998543,9702235
150995.154647,9712466
150995.291185,9721414
150995.416261,9729610
150995.552446,9738535
150995.753123,9751687
150995.945023,9764263
150996.103258,9774633
150996.207169,9781443
150996.295242,9787214
150996.399636,9794056
150996.575538,9805584
150996.743988,9816623
150996.892100,9826330
150996.996141,9833148
150997.098663,9839867
150997.207361,9846990
150997.386800,9858750
150997.535809,9868515
150997.656415,9876419
150997.835415,9888150
150997.997140,9898748
150998.124582,9907100
150998.246559,9915094
150998.377752,9923692
150998.486862,9930842
150998.618350,9939459
150998.773768,9949645
150998.913067,9958774
150999.035499,9966797
150999.146264,9974056
150999.307355,9984613
150999.466667,9995054
150999.604189,10004066
150999.724327,10011940
150999.838006,10019389
150999.994500,10029645
151000.204959,10043438
151000.347564,10052783
151000.498251,10062659
151000.649817,10072592
151000.811689,10083200
151000.952583,10092433
151001.083439,10101009
151001.222649,10110132
151001.391869,10121222
151001.546284,10131341
151001.652283,10138288
151001.760678,10145392
151001.931646,10156596
151002.074183,10165937
151002.183236,10173084
151002.307212,10181209
151002.457402,10191052
151002.571693,10198542
151002.721302,10208346
151002.873108,10218295
151003.009546,10227236
151003.137216,10235603
151003.315512,10247288
151003.503247,10259591
151003.629902,10267891
151003.765041,10276748
151003.906699,10286031
151004.129729,10300648
151004.287249,10310971
151004.416492,10319441
151004.535037,10327209
151004.667497,10335890
151004.806580,10345005
151004.959502,10355027
151005.086565,10363354
151005.207503,10371279
151005.304427,10377631
151005.450956,10387234
151005.602575,10397171
151005.793899,10409709
151006.027095,10424991
151006.255360,10439951
151006.395276,10449120
151006.510733,10456687
151006.611282,10463276
151006.741771,10471828
151006.965402,10486483
151007.120916,10496675
151007.254402,10505423
151007.422582,10516445
151007.573237,10526318
151007.683392,10533537
151007.804947,10541503
151007.920290,10549062
151008.027513,10556089
151008.228895,10569286
151008.389964,10579842
151008.530524,10589054
151008.659544,10597509
151008.784703,10605711
151008.939864,10615880
151009.077232,10624882
151009.216106,10633983
151009.375742,10644445
151009.511767,10653359
151009.663034,10663273
151009.774069,10670549
151009.884441,10677783
151009.997851,10685215
151010.130576,10693913
151010.247951,10701605
151010.392169,10711057
151010.545277,10721090
