world_index,id_fixation,x,y,zoom,etape,id_pan
2433,438,258853.6094252282,6247675.009221113,18.0,2,9
2434,438,258849.6127294951,6247673.241191958,18.0,2,9
2435,438,258852.6239961832,6247677.888817922,18.0,2,9
2436,438,258849.8775129366,6247677.647944949,18.0,2,9
2437,438,258843.71932460327,6247670.855450096,18.0,2,9
2438,438,258849.99775721724,6247678.500649115,18.0,2,9
2439,438,258849.187381156,6247678.935573601,18.0,2,9
2439,439,258774.17386314127,6247659.147662741,18.0,2,9
2440,439,258770.6770918037,6247655.254946362,18.0,2,9
2441,439,258769.83591147448,6247654.935307234,18.0,2,9
2442,439,258770.91578643923,6247659.181798586,18.0,2,9
2443,439,258767.9845459248,6247654.697893973,18.0,2,9
2444,439,258768.6275230856,6247659.381846936,18.0,2,9
2445,439,258763.64427069703,6247652.661352574,18.0,2,9
2447,440,259049.28247498005,6247709.676977289,18.0,2,9
2448,440,259046.40385628783,6247711.668580849,18.0,2,9
2449,440,259045.943552024,6247711.571439769,18.0,2,9
2450,440,259062.7977407716,6247722.519243291,18.0,2,9
2451,440,259052.4776105156,6247712.858491803,18.0,2,9
2452,440,259050.86365822592,6247712.013975626,18.0,2,9
2453,441,259078.7224618458,6247696.040566552,18.0,2,9
2454,441,259079.22223247628,6247695.459103961,18.0,2,9
2455,441,259100.0981977476,6247707.088855544,18.0,2,9
2456,441,259233.1788087705,6247830.152537385,18.0,2,9
2457,441,259237.3946368059,6247830.452840556,18.0,2,9
2462,442,259120.48873240445,6247808.396297871,18.0,2,9
2463,442,259119.25915860664,6247811.323792499,18.0,2,9
2464,442,259121.670297332,6247810.543127264,18.0,2,9
2465,442,259130.1780933068,6247818.471984387,18.0,2,9
2466,442,259124.60978193188,6247817.712038996,18.0,2,9
2467,442,259133.4189824916,6247820.532167166,18.0,2,9
2468,442,259130.26498765335,6247818.388374633,18.0,2,9
2469,443,259117.95506911943,6247807.814950603,18.0,2,9
2470,443,259110.74810053443,6247802.041303069,18.0,2,9
2471,443,259119.9302326312,6247808.07200735,18.0,2,9
2471,444,259087.2388231042,6247787.337903164,18.0,2,9
2472,444,259073.6662200285,6247779.955142669,18.0,2,9
2473,444,259076.70222580704,6247779.847045829,18.0,2,9
2474,444,259081.01578008357,6247784.255989972,18.0,2,9
2475,444,259078.6983013676,6247783.580922896,18.0,2,9
2476,444,259073.6973147416,6247778.371400944,18.0,2,9
2477,444,259073.5500078096,6247778.227015547,18.0,2,9
2478,444,259074.7886024912,6247777.047868148,18.0,2,9
2478,445,259066.07391619124,6247777.477872153,18.0,2,9
2479,445,259066.65501145596,6247776.177596323,18.0,2,9
2480,445,259072.06566238447,6247783.451375829,18.0,2,9
2481,445,259070.19160794528,6247779.882565559,18.0,2,9
2482,445,259064.79595765303,6247778.793216958,18.0,2,9
2483,445,259065.8148049721,6247779.532096535,18.0,2,9
2484,445,259065.6528049339,6247779.907052645,18.0,2,9
